episode_seed,blue_style,map,resolved_map,opponent,blue_max_flag_progress,blue_raw_carrier_return_fraction,red_raw_carrier_return_fraction,red_max_flag_progress,blue_score,red_score,win_margin,blue_home_defense_fraction,blue_forward_commitment_fraction,mean_num_attackers,mean_num_defenders,blue_tag_successes,red_tag_successes,cooldown_denials,blue_flag_pickups,red_flag_pickups,blue_flag_drops,red_flag_drops,time_to_first_tag,episode_steps,ruleset_id,taggers_required,tag_min_interval_seconds,tag_nearest_only,tag_channel_seconds,suppression_attackers_required
1900001,BLUE_BOTH_ATTACK_V2,map_a,map_a_open,OP6,2.0,0.9714103937149048,0.962004542350769,2.0,0,0,0,0.6263736263736264,0.46703296703296704,0.9340659340659341,1.043956043956044,2,0,4,3,4,2,3,52,91,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
1900001,BLUE_ONE_DEFENDER_V2,map_a,map_a_open,OP6,2.0,0.9398853182792664,0.9460670948028564,2.0,0,0,0,0.9927007299270073,0.23722627737226276,0.4744525547445255,1.510948905109489,4,2,16,4,2,3,2,11,137,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
1900002,BLUE_BOTH_ATTACK_V2,map_a,map_a_open,OP6,2.0,0.9592853784561157,0.9828571677207947,2.0,0,0,0,0.6157407407407407,0.5046296296296297,1.0092592592592593,0.9814814814814815,12,11,20,9,3,8,3,21,216,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
1900002,BLUE_ONE_DEFENDER_V2,map_a,map_a_open,OP6,2.0,0.983148455619812,0.9331296682357788,2.0,0,0,0,0.9891304347826086,0.23369565217391305,0.4673913043478261,1.5108695652173914,3,0,7,3,2,2,2,14,92,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
1900003,BLUE_BOTH_ATTACK_V2,map_a,map_a_open,OP6,2.0,0.9626424908638,0.9500194787979126,2.0,0,0,0,0.7291666666666666,0.44375,0.8875,1.1041666666666667,15,14,12,6,3,6,3,8,240,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
1900003,BLUE_ONE_DEFENDER_V2,map_a,map_a_open,OP6,2.0,0.9869357347488403,0.934482216835022,2.0,0,0,0,0.9887640449438202,0.24157303370786518,0.48314606741573035,1.4943820224719102,2,0,16,3,2,2,1,11,89,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
1900004,BLUE_BOTH_ATTACK_V2,map_a,map_a_open,OP6,2.0,0.9808160066604614,0.9835180640220642,2.0,0,0,0,0.7446808510638298,0.40425531914893614,0.8085106382978723,1.1702127659574468,3,1,1,3,4,2,3,10,94,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
1900004,BLUE_ONE_DEFENDER_V2,map_a,map_a_open,OP6,2.0,0.9433229565620422,0.9560036659240723,2.0,0,0,0,0.9927536231884058,0.23550724637681159,0.47101449275362317,1.5144927536231885,3,2,21,4,3,3,3,12,138,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
1900005,BLUE_BOTH_ATTACK_V2,map_a,map_a_open,OP6,2.0,0.9393511414527893,0.9603872895240784,2.0,0,0,0,0.640625,0.4817708333333333,0.9635416666666666,1.0260416666666667,9,10,7,7,4,6,3,23,192,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
1900005,BLUE_ONE_DEFENDER_V2,map_a,map_a_open,OP6,2.0,0.9915584325790405,0.9493303894996643,2.0,0,0,0,0.9929577464788732,0.24295774647887325,0.4859154929577465,1.5,4,2,13,4,2,3,2,13,142,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
